Country name,Country code3,date,School closing,Workplace closing,Cancel public events,Close public transport,Public information campaigns,Restrictions on internal movement,International travel controls,Fiscal measures,Monetary measures,Emergency investment in health care,Investment in Vaccines,Testing framework,Contact tracing
Aruba,ABW,2020-01-01,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-02,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-03,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-04,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-05,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-06,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-07,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-08,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-09,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-11,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-14,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-18,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-19,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-21,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Aruba,ABW,2020-01-22,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
